<prompt>
Please write a uncomplicated Malagasy children's story that is at least 1000 words long.
It must be completely written in proper Malagasy (MG).
Ensure that the title of the story is enclosed in <title> tags and the body of the story is enclosed in <body> tags.
Example: <title>The title of the story</title><body>The story itself</body>
Do not include any extra commentary or explanation; output only the story in the specified format.
</prompt>

<model>meta-llama/Llama-3.3-70B-Instruct-Turbo</model>

<lang_id>mg</lang_id>

<title>Ny Mpanjaka Sy Nandringitra</title>
<body>
Ny mpanjaka sy nandringitra no tale ny aina nym-bokaka izay efa nifaninana tamin'ny andro fahiny. Ny mpanjaka no rainy, fa ny nandringitra kosa no reniny. Nandeha ny mpanjaka sy nandringitra handeha any an-tendrombohitra, ary nividy ronono sy voanjo. Nony tonga tao an-tendrombohitra dia nijaly ny mpanjaka sy nandringitra, ka naka ny ronono sy voanjo, ary nihinana.

Nandeha ny mpanjaka sy nandringitra handeha any an-tsena, ary nividy akondro sy tsaramaso. Nony tonga tao an-tsena dia nijaly ny mpanjaka sy nandringitra, ka naka ny akondro sy tsaramaso, ary nihinana. Nandeha ny mpanjaka sy nandringitra handeha any an-dranomasina, ary nividy trondro sy kisoa. Nony tonga tao an-dranomasina dia nijaly ny mpanjaka sy nandringitra, ka naka ny trondro sy kisoa, ary nihinana.

Nandeha ny mpanjaka sy nandringitra handeha any amin'ny toerana lava, ary nividy rano sy afo. Nony tonga tao amin'ny toerana lava dia nijaly ny mpanjaka sy nandringitra, ka naka ny rano sy afo, ary nihinana. Nandeha ny mpanjaka sy nandringitra handeha any amin'ny toerana be, ary nividy harena sy hazo. Nony tonga tao amin'ny toerana be dia nijaly ny mpanjaka sy nandringitra, ka naka ny harena sy hazo, ary nihinana.

Nandeha ny mpanjaka sy nandringitra handeha any amin'ny toerana avo, ary nividy vato sy tany. Nony tonga tao amin'ny toerana avo dia nijaly ny mpanjaka sy nandringitra, ka naka ny vato sy tany, ary nihinana. Nandeha ny mpanjaka sy nandringitra handeha any amin'ny toerana ambany, ary nividy rivotra sy afo. Nony tonga tao amin'ny toerana ambany dia nijaly ny mpanjaka sy nandringitra, ka naka ny rivotra sy afo, ary nihinana.

Nandeha ny mpanjaka sy nandringitra handeha any amin'ny toerana miva, ary nividy hazo sy vato. Nony tonga tao amin'ny toerana miva dia nijaly ny mpanjaka sy nandringitra, ka naka ny hazo sy vato, ary nihinana. Nandeha ny mpanjaka sy nandringitra handeha any amin'ny toerana masiaka, ary nividy tany sy rano. Nony tonga tao amin'ny toerana masiaka dia nijaly ny mpanjaka sy nandringitra, ka naka ny tany sy rano, ary nihinana.

Nandeha ny mpanjaka sy nandringitra handeha any amin'ny toerana mafana, ary nividy afo sy rivotra. Nony tonga tao amin'ny toerana mafana dia nijaly ny mpanjaka sy nandringitra, ka naka ny afo sy rivotra, ary nihinana. Nandeha ny mpanjaka sy nandringitra handeha any amin'ny toerana mangatsiaka, ary nividy hazo sy vato. Nony tonga tao amin'ny toerana mangatsiaka dia nijaly ny mpanjaka sy nandringitra, ka naka ny hazo sy vato, ary nihinana.

Nandeha ny mpanjaka sy nandringitra handeha any amin'ny toerana tsara, ary nividy tany sy rano. Nony tonga tao amin'ny toerana tsara dia nijaly ny mpanjaka sy nandringitra, ka naka ny tany sy rano, ary nihinana. Nandeha ny mpanjaka sy nandringitra handeha any amin'ny toerana ratsy, ary nividy afo sy rivotra. Nony tonga tao amin'ny toerana ratsy dia nijaly ny mpanjaka sy nandringitra, ka naka ny afo sy rivotra, ary nihinana.

Nandeha ny mpanjaka sy nandringitra handeha any amin'ny toerana lava, ary nividy hazo sy vato
