<prompt>
Please write a simple and easy-to-follow Kongo children's story that is at least 1000 words long.
It must be completely written in proper Kongo (KG).
Ensure that the title of the story is enclosed in <title> tags and the body of the story is enclosed in <body> tags.
Example: <title>The title of the story</title><body>The story itself</body>
Do not include any extra commentary or explanation; output only the story in the specified format.
The title of the story is: 'Nkia Mambu Makala kuna Mbanza, Kansi Yandi Zola Kuenda Kukimona.'.
</prompt>

<model>meta-llama/Llama-3.3-70B-Instruct-Turbo-Free</model>

<lang_id>kg</lang_id>

<title>Nkia Mambu Makala kuna Mbanza, Kansi Yandi Zola Kuenda Kukimona</title>
<body>
Nkia mambu makala kuna mbanza, kansi yandi zola kuenda kukimona. Yandi muziki, yandi muntu ya kuluta, yandi muntu ya kusala. Nkia yandi zola kukimona, yandi sala na ndunda ya mbanza. Ndunda ya mbanza eza na yandi, yandi zola kuenda kukimona. 
Nkia yandi zola kukimona, yandi vanda na kimvula. Kimvula eza na yandi, yandi zola kuenda kukimona. Kimvula bazola kukimona yandi, bazola kuluta yandi. Yandi zola kuenda na kimvula, yandi zola kusala na kimvula. Kimvula bazola kuseka yandi, bazola kukimona yandi. 

Yandi kimona kuna mbanza, yandi vanda na kisalu. Kisalu eza na yandi, yandi zola kuenda kukimona. Kisalu bazola kukimona yandi, bazola kuluta yandi. Yandi zola kuenda na kisalu, yandi zola kusala na kisalu. Kisalu bazola kuseka yandi, bazola kukimona yandi. 

Nkia yandi zola kukimona, yandi vanda na kisola. Kisola eza na yandi, yandi zola kuenda kukimona. Kisola bazola kukimona yandi, bazola kuluta yandi. Yandi zola kuenda na kisola, yandi zola kusala na kisola. Kisola bazola kuseka yandi, bazola kukimona yandi. 

Yandi kimona kuna mbanza, yandi vanda na kisona. Kisona eza na yandi, yandi zola kuenda kukimona. Kisona bazola kukimona yandi, bazola kuluta yandi. Yandi zola kuenda na kisona, yandi zola kusala na kisona. Kisona bazola kuseka yandi, bazola kukimona yandi. 

Nkia yandi zola kukimona, yandi vanda na kibeni. Kibeni eza na yandi, yandi zola kuenda kukimona. Kibeni bazola kukimona yandi, bazola kuluta yandi. Yandi zola kuenda na kibeni, yandi zola kusala na kibeni. Kibeni bazola kuseka yandi, bazola kukimona yandi. 

Yandi kimona kuna mbanza, yandi vanda na kibanda. Kibanda eza na yandi, yandi zola kuenda kukimona. Kibanda bazola kukimona yandi, bazola kuluta yandi. Yandi zola kuenda na kibanda, yandi zola kusala na kibanda. Kibanda bazola kuseka yandi, bazola kukimona yandi. 

Nkia yandi zola kukimona, yandi vanda na kifuta. Kifuta eza na yandi, yandi zola kuenda kukimona. Kifuta bazola kukimona yandi, bazola kuluta yandi. Yandi zola kuenda na kifuta, yandi zola kusala na kifuta. Kifuta bazola
