word,count,doc_count
ngathi,75,57
ezintweni,65,58
okhulu,74,57
emndenini,92,55
kathando,111,53
ibe,72,57
khumbula,72,57
ingqondo,71,57
yiqiniso,71,57
wazo,79,56
ukuhleka,88,55
ukusebenzisana,78,56
laqala,78,56
baya,68,57
ezihamba,116,52
isibonelo,86,55
endala,86,55
yize,66,57
ebheka,66,57
ezindala,65,57
umzimba,93,54
ekhala,64,57
ababili,73,56
gogo,188,44
nomsebenzi,62,57
okumele,62,57
komthunzi,62,57
lolu,62,57
ngokujabula,71,56
okuncane,69,56
efanele,69,56
izidalwa,88,54
ahlukene,67,56
ngumoya,86,54
nomhlaba,76,55
ubani,76,55
amatshe,95,53
ezulwini,103,52
sokuqala,63,56
waze,82,54
kangcono,72,55
zaqhubeka,71,55
kulokho,70,55
nomunye,69,55
waphinde,69,55
ngobusuku,68,55
izinyembezi,77,54
ukuzimisela,77,54
zombili,67,55
eluhlaza,65,55
bazama,72,54
zezinyoni,80,53
umbono,80,53
sipho,137,47
imikhuba,69,54
ngiyathanda,88,52
yokuqala,59,55
ngalesi,59,55
ubungane,78,53
isifiso,68,54
wayephila,77,53
oluthile,57,55
enza,74,53
aluhlaza,64,54
ukuhlola,64,54
izingubo,62,54
esibhakabhakeni,81,52
kwakuyinto,81,52
lula,61,54
elula,61,54
imibuzo,80,52
kwezinsuku,60,54
eliqinile,60,54
kungenzeka,59,54
wayesebenzisa,78,52
imiphumela,68,53
ubuhlungu,77,52
kuya,67,53
akekho,67,53
angazi,57,54
lakho,66,53
udinga,75,52
emincane,65,53
isizathu,74,52
kwaze,130,46
phezu,62,53
imbali,138,45
yindawo,70,52
imfundo,70,52
wamangala,60,53
esinye,59,53
wokuthi,59,53
izincwadi,107,48
wayeqhubeka,68,52
ngibona,77,51
onamandla,67,52
zezilwane,65,52
ngokuqinile,65,52
ukulalela,84,50
intaba,102,48
basebenzisa,62,52
nto,62,52
waqaphela,62,52
hamba,81,50
imfihlo,81,50
kuqhubeka,71,51
ake,71,51
eqala,61,52
kwezinye,60,52
ngokuqhubeka,59,52
wezwa,68,51
ngamakhono,58,52
ngezandla,57,52
kothando,57,52
umgomo,57,52
nini,66,51
ezijabulisayo,66,51
ngamanzi,65,51
wayeqala,65,51
imiqondo,64,51
ezingqondweni,64,51
bayo,54,52
na,130,44
elisha,62,51
ukhuluma,80,49
nzima,59,51
la,59,51
babheka,58,51
yawo,58,51
inyoni,183,38
emlandweni,67,50
eningizimu,57,51
nenjabulo,57,51
ingabe,66,50
wabantu,65,50
nokuzimisela,65,50
kwamanzi,65,50
isihlahla,93,47
mnandi,64,50
zawo,64,50
ngokuzimisela,63,50
oqine,82,48
amahora,62,50
ngenye,60,50
ukuxoxa,60,50
wagijima,67,49
nokukhula,57,50
baye,95,46
ukukhumbula,56,50
enothando,55,50
basebenza,55,50
ngiyaqonda,55,50
ngemizwa,62,49
ihlathi,100,45
umandla,263,28
sidinga,70,48
ubuhlakani,60,49
nosipho,137,41
wayengumqeqeshi,79,47
linguthando,50,50
ukuhlakanipha,58,49
izizukulwane,58,49
umphumela,58,49
yinkosi,86,46
isikhashana,56,49
obalulekile,56,49
ngokuqina,56,49
nomqondo,55,49
washo,64,48
eziphilayo,83,46
ukubuka,54,49
ukuhlonipha,73,47
ukuhlela,63,48
ukucula,82,46
okubalulekile,53,49
eminyakeni,61,48
lokuqala,61,48
lawo,51,49
zenza,70,47
abafundi,118,42
kwesihlahla,60,48
wayesebenza,59,48
bebona,68,47
bakwazi,57,48
bazi,56,48
ngamatshe,55,48
ukukwenza,55,48
zezinto,54,48
amathuba,54,48
ukukwazi,54,48
u-nomusa,208,32
abasha,73,46
bethu,72,46
abahle,81,45
ngesandla,51,48
yemvelo,60,47
emandleni,59,47
ubungani,78,45
kuwe,58,47
wakha,58,47
wabamba,58,47
isithombe,58,47
baze,77,45
zikhona,67,46
umngane,67,46
emide,67,46
ngegama,66,46
obuhle,66,46
wanqekuzisa,56,47
oluhle,56,47
abancane,56,47
nezihlahla,55,47
nomuntu,54,47
ngiyajabula,54,47
efanayo,54,47
ngawo,54,47
bakhuluma,63,46
wamamatheka,63,46
nokudlala,52,47
lami,52,47
nabangani,71,45
nezindlela,51,47
ulindiwe,205,31
yezinyoni,60,46
sethu,60,46
abangani,60,46
emomotheka,59,46
yilokho,57,46
nokudla,56,46
ukukhala,65,45
nesibindi,65,45
umuthi,84,43
eziqinile,55,46
ngezinhlobo,55,46
ngalinye,55,46
umkhondo,93,42
ukuchitha,54,46
ezihlala,54,46
bantwana,102,41
ukuqina,63,45
ezimbi,63,45
babehlala,63,45
ngokukhanya,62,45
watshela,52,46
nani,71,44
imini,51,46
ukungena,60,45
wayekwazi,59,45
ngobunye,49,46
okwenzeka,48,46
elinye,57,45
njani,76,43
kunazo,56,45
nezingane,56,45
eziqeqeshwe,65,44
wayejabule,54,45
ukufinyelela,54,45
okwesibhakabhaka,53,45
ngizokwenza,52,45
cha,51,45
yilapho,51,45
bantu,69,43
kudingeka,59,44
uzama,155,34
beqhubeka,49,45
nokubaluleka,49,45
isinyathelo,49,45
ekhula,49,45
nokho,49,45
ngekhanda,49,45
baphinde,58,44
ekhombisa,48,45
ngokuqiniseka,47,45
omnandi,47,45
kwalokhu,47,45
isizukulwane,75,42
wavuka,46,45
wabeka,46,45
wachaza,55,44
nethuba,45,45
ekuqondeni,53,44
ngokuqondile,53,44
ngingumfana,120,37
ngokuphila,52,44
komsebenzi,52,44
elithambile,51,44
nokuthola,51,44
kuqeqeshwa,58,43
yaqhubeka,48,44
inkinga,48,44
ukujabula,48,44
kalula,48,44
wayekhuluma,76,41
umbala,76,41
wayevame,47,44
nokunye,47,44
intombi,124,36
befika,66,42
kungcono,46,44
imizamo,55,43
zwe,53,43
wambona,53,43
lwakho,52,43
izimpilo,52,43
kumnandi,52,43
ekhanyayo,60,42
efika,50,43
ikakhulukazi,50,43
ngelizwi,50,43
zokwenza,49,43
ngobuhlakani,49,43
kwase,58,42
ukulandela,48,43
ukuqeda,48,43
eliphezulu,48,43
enze,57,42
ngizizwa,57,42
ekhulu,47,43
kanjalo,47,43
njengomuntu,66,41
ukubamba,85,39
babazi,55,42
zama,74,40
izimangaliso,64,41
ukufuna,54,42
ukuqeqesha,53,42
ngingumqeqeshi,101,37
ukukhathazeka,52,42
okwenzekayo,52,42
ezinganeni,52,42
ngidinga,71,40
ami,61,41
kwami,60,41
kuphi,50,42
esisodwa,50,42
awo,49,42
sithole,49,42
ubusuku,58,41
kabi,48,42
nokuhlonipha,48,42
elinamandla,48,42
esizayo,48,42
womhlaba,76,39
ehlukahlukene,47,42
sokuba,47,42
ngemibala,66,40
ebonisa,46,42
nokuhamba,55,41
ngokuhlakanipha,55,41
kuzoba,45,42
zihamba,45,42
evela,45,42
sezulu,62,40
mhlawumbe,52,41
emlilweni,52,41
ukuzijabulisa,52,41
ingxenye,51,41
uthanda,60,40
zempilo,60,40
ngizwa,50,41
unkulunkulu,155,30
yomoya,49,41
iqhaza,49,41
ngesibindi,49,41
ngemisebenzi,49,41
ukufika,58,40
siyazi,48,41
ephendula,48,41
ngezilwane,57,40
uthi,57,40
wesihlahla,47,41
izimo,47,41
zasendle,85,37
angikwazi,56,40
olusha,46,41
siyabonga,84,37
okumnandi,55,40
wagxuma,55,40
kwesinye,45,41
ukushaya,53,40
isithunzi,53,40
benze,43,41
ekhethekile,43,41
ukudansa,119,33
unkosi,118,33
ngendaba,50,40
sibe,59,39
wakhala,49,40
umhlangano,67,38
umuzwa,47,40
amadoda,75,37
ukubonisa,46,40
ngaye,45,40
zihlala,45,40
zezwe,45,40
umphakathi,54,39
wokuqala,54,39
nolwazi,44,40
nalokho,43,40
mntwana,100,34
ngokuthanda,71,37
akwazi,42,40
wavula,42,40
yezwe,42,40
esimweni,42,40
ogcwele,41,40
oluningi,41,40
sifuna,59,38
wezinyoni,107,33
onothando,49,39
esifanayo,68,37
yabona,77,36
uqhubeka,48,39
ukufundisa,48,39
yedwa,48,39
komuthi,46,39
nengqondo,46,39
nenhliziyo,46,39
walo,45,39
kuleli,45,39
izinhlelo,54,38
kwalo,44,39
wazithola,44,39
nokusebenza,43,39
ngolwazi,43,39
uqeqesho,52,38
ukushintsha,42,39
ngizama,42,39
yokuba,42,39
uqala,51,38
okulungile,51,38
ngasinye,41,39
izinhlamvu,69,36
bathole,40,39
athole,40,39
isipho,78,35
bedlala,49,38
wayeyintombazane,39,39
ezigcwele,39,39
nohambo,48,38
bazo,48,38
ephakeme,48,38
wayengazi,47,38
ehlakaniphile,47,38
umngani,47,38
kwemithi,47,38
izinyanga,66,36
isikhulu,66,36
izihlobo,55,37
yokuhlala,55,37
yomhlaba,55,37
nokwakha,45,38
baqeqeshwa,54,37
ukubheka,44,38
nomama,53,37
ezindabeni,43,38
ngalunye,43,38
busuku,43,38
akuyona,43,38
wayekhona,71,35
yokuqeqeshwa,42,38
enamehlo,42,38
uhlangothi,42,38
kulula,42,38
nobungane,42,38
zikhanya,42,38
senze,42,38
wayehlale,42,38
emisebenzini,42,38
wamemeza,51,37
entabeni,70,35
ngakusasa,41,38
bazizwa,41,38
amnyama,41,38
ekhanya,41,38
engqondweni,41,38
lolwimi,50,37
bona,40,38
izinsizwa,107,31
emnyango,49,37
wathanda,48,37
uzanele,202,21
kwenziwa,38,38
zezulu,76,34
wayesho,47,37
eyenziwe,47,37
ukubeka,47,37
imicimbi,47,37
nonomusa,85,33
wokuthula,56,36
ngokwengeziwe,46,37
emgwaqweni,46,37
muntu,46,37
yisibonelo,45,37
esinamandla,45,37
emithini,45,37
olungile,45,37
ukuthuthukiswa,45,37
ekhumbula,44,37
lowo,44,37
babone,44,37
ezingeni,44,37
indodana,53,36
zazihlala,43,37
nobuhlobo,43,37
ambalwa,43,37
emhlane,43,37
umfundisi,120,29
wazibona,52,36
owayehlala,42,37
ahlukahlukene,42,37
hlobo,42,37
wasiza,41,37
kunoma,40,37
iyiphi,40,37
okungcono,40,37
wamnika,49,36
afunde,49,36
njengendlela,39,37
izinqumo,57,35
ukubambisana,46,36
wayesaba,55,35
ngokwanele,55,35
bemvelo,45,36
thina,63,34
lwethu,63,34
kulesi,43,36
emahlathini,43,36
emphakathini,43,36
abone,42,36
lokuqeqeshwa,42,36
othandayo,80,32
esiqinile,41,36
izinhloso,41,36
njengabantu,40,36
uqale,40,36
wahleka,40,36
izimpawu,40,36
nezindawo,40,36
ungumuntu,40,36
elungile,40,36
zokuqala,40,36
elithi,49,35
ezingxenyeni,39,36
ukusuka,39,36
babuyela,39,36
ukulungisa,39,36
athi,39,36
nemisebenzi,39,36
okuqinile,39,36
nokuthuthukisa,39,36
ngizwe,77,32
amade,48,35
ezizayo,48,35
ke,48,35
emthonjeni,48,35
labantu,48,35
nokuxhumana,38,36
wayeyindoda,38,36
iqhawe,86,31
kwakhona,37,36
nezintaba,46,35
ngiyavuma,46,35
kulabo,36,36
imifula,55,34
obomvu,45,35
ukunakekela,44,35
nobuntu,44,35
azo,53,34
izingqondo,43,35
saqala,42,35
oneminyaka,42,35
nombono,42,35
ngiyakuthanda,80,31
nokuzinikela,51,34
yezulu,70,32
wayesazi,41,35
kwenzeke,41,35
uzinhle,166,22
wakubo,60,33
kwesikhashana,40,35
kwakukhulu,40,35
ukudala,40,35
imimoya,59,33
uhlobo,39,35
ebomvu,38,35
amaqhinga,47,34
ukuzinikela,47,34
yempilo,37,35
wacela,37,35
esithi,55,33
ukuphuma,44,34
ekuqeqeshweni,44,34
ngokomoya,53,33
kwezintaba,43,34
wayeneminyaka,52,33
ikhaya,51,33
wathuthukisa,41,34
nokuhlakanipha,41,34
emibili,41,34
ngomlando,50,33
wayeqiniseka,40,34
okubi,40,34
lokufunda,40,34
emizini,48,33
ngakolunye,38,34
nokuphila,38,34
yokuqonda,38,34
imithombo,38,34
zomoya,76,30
nesikhathi,47,33
ngomsebenzi,37,34
aqhubeka,37,34
oqhubekayo,37,34
okukhona,37,34
sizokwenza,56,32
ngokugcwele,36,34
ekhathazekile,36,34
engavamile,36,34
elangeni,36,34
nokuhlangana,36,34
wangena,36,34
yiziphi,36,34
nezimbali,45,33
wayezithanda,45,33
eziluhlaza,35,34
izinwele,35,34
bafunde,44,33
yakubo,44,33
ahambe,34,34
okuqhubekayo,34,34
imihlaba,43,33
umxhwele,42,33
wamanzi,51,32
wayengeke,41,33
khona-ke,41,33
ukuxazulula,41,33
amagugu,69,30
wayelalela,40,33
nokusiza,40,33
wayezimisele,39,33
ahlale,39,33
ngokuvamile,39,33
bakhula,38,33
emkhakheni,38,33
nokuqina,47,32
ezibomvu,66,30
kwaphela,37,33
ethola,37,33
amathathu,46,32
wakhetha,36,33
leso,36,33
kangako,36,33
aqinile,36,33
simo,36,33
ezandleni,35,33
babamba,35,33
wanquma,35,33
inhlanhla,83,28
lomhlaba,63,30
angaba,34,33
efana,34,33
ubudala,34,33
ekuthuthukiseni,34,33
kulowo,34,33
libe,43,32
nomuzwa,33,33
ngokujulile,33,33
amnandi,42,32
nobaba,51,31
zinhle,51,31
sibone,41,32
siqale,41,32
yamanzi,41,32
ngokubaluleka,41,32
inkanyezi,118,24
amafu,60,30
aqhubeke,40,32
ahlanzekile,40,32
ekhomba,40,32
wabhala,49,31
okumangalisayo,39,32
kabusha,39,32
besebenzisa,48,31
neqiniso,38,32
msebenzi,38,32
zingane,57,30
edolobheni,47,31
ezithokozisayo,47,31
zahlangana,37,32
nomfula,37,32
ngithole,37,32
singakwazi,37,32
bheka,46,31
ukuqinisekisa,36,32
ojulile,36,32
nakuba,36,32
izinga,36,32
kuqeqeshwe,36,32
sikwazi,36,32
mfana,55,30
baqale,35,32
ukuthini,35,32
ngokusobala,35,32
wokwenza,35,32
sengqondo,35,32
neminye,35,32
muzi,44,31
yomuntu,34,32
enomoya,34,32
othembekile,43,31
ezikhona,43,31
ezingavamile,43,31
kwendawo,33,32
nokuthatha,33,32
nekhono,33,32
okuthi,33,32
wezinto,52,30
kuleyo,32,32
okujabulisayo,32,32
